year,month,pollutant,emission_Gg
2000,9,CO,44.189466624
2000,10,CO,141.393035264
2000,11,CO,102.772129792
2000,12,CO,1.365279104
2000,1,PM2.5,0.068829968
2000,2,PM2.5,0.545739008
2000,3,PM2.5,14.135406592
2000,4,PM2.5,40.474447872
2000,5,PM2.5,24.510124032
2000,6,PM2.5,20.544649216
2000,7,PM2.5,13.642836992
2000,8,PM2.5,2.093194112
2000,9,PM2.5,7.424144896
2000,10,PM2.5,20.401246208
2000,11,PM2.5,14.204741632
2000,12,PM2.5,0.20661368
2000,1,OC,0.049653852
2000,2,OC,0.38805104
2000,3,OC,8.62797312
2000,4,OC,25.054193664
2000,5,OC,14.15222272
2000,6,OC,12.154861568
2000,7,OC,8.308837376
2000,8,OC,1.382892928
2000,9,OC,4.902289408
2000,10,OC,12.58250752
2000,11,OC,8.821372928
2000,12,OC,0.139232624
2000,1,BC,0.002530465
2000,2,BC,0.020530876
2000,3,BC,0.488586848
2000,4,BC,1.489588992
2000,5,BC,0.745648704
2000,6,BC,0.603397312
2000,7,BC,0.476955232
2000,8,BC,0.073543864
2000,9,BC,0.26894784
2000,10,BC,0.749081344
2000,11,BC,0.574379136
2000,12,BC,0.008473009
2000,1,NOx,0.013516358
2000,2,NOx,0.116309368
2000,3,NOx,3.039830016
2000,4,NOx,9.837377536
2000,5,NOx,4.174573312
2000,6,NOx,3.0661888
2000,7,NOx,2.986321152
2000,8,NOx,0.42057248
2000,9,NOx,1.603206272
2000,10,NOx,4.935968768
2000,11,NOx,4.141968896
2000,12,NOx,0.05688196
2001,1,CO,0.0
2001,2,CO,1.904462464
2001,3,CO,39.85862656
2001,4,CO,312.36653056
2001,5,CO,26.808942592
2001,6,CO,6.333113856
2001,7,CO,3.3323904
2001,8,CO,15.164872704
2001,9,CO,107.63608064
2001,10,CO,335.101394944
2001,11,CO,88.90384384
2001,12,CO,2.8262976
2001,1,PM2.5,0.0
2001,2,PM2.5,0.311791936
2001,3,PM2.5,5.971860992
2001,4,PM2.5,49.418285056
2001,5,PM2.5,4.155103744
2001,6,PM2.5,1.012089792
2001,7,PM2.5,0.62857728
2001,8,PM2.5,2.840282624
2001,9,PM2.5,18.303043584
2001,10,PM2.5,53.476831232
2001,11,PM2.5,14.179547136
2001,12,PM2.5,0.448118048
2001,1,OC,0.0
2001,2,OC,0.211655216
2001,3,OC,3.730687232
2001,4,OC,30.343974912
2001,5,OC,2.57265024
2001,6,OC,0.632252224
2001,7,OC,0.410581248
2001,8,OC,1.964834304
2001,9,OC,11.76041472
2001,10,OC,34.12658176
2001,11,OC,9.171130368
2001,12,OC,0.2881808
2001,1,BC,0.0
2001,2,BC,0.012711354
2001,3,BC,0.246315024
2001,4,BC,1.64306048
