year,pollutant,season,emission_Gg,baseline,emission_index
2015,CO,Autumn,1695.97119140625,1087.1589762369792,156.000293285217
2015,CO,Spring,1290.5361328125,1139.2664540608723,113.27781382594321
2016,CO,Annual,2128.85595703125,2320.165771484375,91.7544764773109
2016,CO,Autumn,565.8273315429688,1087.1589762369792,52.0464204325927
2016,CO,Spring,1423.519775390625,1139.2664540608723,124.9505565898603
2017,CO,Annual,3255.8203125,2320.165771484375,140.32705561452278
2017,CO,Autumn,1077.77734375,1087.1589762369792,99.13705054255706
2017,CO,Spring,2082.0830078125,1139.2664540608723,182.75645705102556
2018,CO,Annual,1141.4072265625,2320.165771484375,49.195072205218366
2018,CO,Autumn,121.09439086914062,1087.1589762369792,11.138609303331956
2018,CO,Spring,933.5953369140625,1139.2664540608723,81.94705756377687
2019,CO,Annual,1344.222900390625,2320.165771484375,57.93650250820785
2019,CO,Autumn,183.0288543701172,1087.1589762369792,16.835518849657227
2019,CO,Spring,598.8169555664062,1139.2664540608723,52.561624493721006
2020,CO,Annual,1541.1871337890625,2320.165771484375,66.42573357174628
2020,CO,Autumn,121.77580261230469,1087.1589762369792,11.201287509377098
2020,CO,Spring,1354.0465087890625,1139.2664540608723,118.85248652434335
2021,CO,Annual,1526.3902587890625,2320.165771484375,65.78798280488907
2021,CO,Autumn,161.77198791503906,1087.1589762369792,14.880251320279395
2021,CO,Spring,1301.8531494140625,1139.2664540608723,114.2711737691965
2022,CO,Annual,1442.353271484375,2320.165771484375,62.165957674722485
2022,CO,Autumn,364.8672790527344,1087.1589762369792,33.56153856316967
2022,CO,Spring,998.47998046875,1139.2664540608723,87.64235766880573
2023,CO,Annual,1443.410888671875,2320.165771484375,62.2115413653578
2023,CO,Autumn,286.8612365722656,1087.1589762369792,26.386319097984025
2023,CO,Spring,1072.6356201171875,1139.2664540608723,94.15142667405138
2002,OC,Annual,18.131206512451172,78.37537384033203,23.13380545959302
2002,OC,Autumn,10.373495101928711,35.78824702898661,28.985759189397353
2002,OC,Spring,6.055518627166748,39.30364545186361,15.407015195532253
2003,OC,Annual,81.8134536743164,78.37537384033203,104.38668380834586
