year,pollutant,season,emission_Gg,baseline,emission_index
2003,BC,Annual,17.57250768987842,3.8851986412311965,452.29367434118626
2003,BC,Autumn,0.9523935657385543,1.5647903637589522,60.863971800715
2003,BC,Spring,15.992360156980812,1.944419644268937,822.4747267966231
2004,BC,Annual,7.7676957294894144,3.8851986412311965,199.930465512257
2004,BC,Autumn,7.192396072357312,1.5647903637589522,459.6395938354118
2004,BC,Spring,0.3860459746365547,1.944419644268937,19.854046207278486
2005,BC,Annual,2.2701877946185665,3.8851986412311965,58.43170463735047
2005,BC,Autumn,1.2779101403491653,1.5647903637589522,81.66653948963229
2005,BC,Spring,0.827621711678844,1.944419644268937,42.563945191471944
2006,BC,Annual,4.4895937953064795,3.8851986412311965,115.55635142206664
2006,BC,Autumn,0.49290214552046485,1.5647903637589522,31.499564218711782
2006,BC,Spring,3.5613938932294253,1.944419644268937,183.15973631136805
2007,BC,Annual,1.918568673846496,3.8851986412311965,49.38148215861913
2007,BC,Autumn,0.8612794042326789,1.5647903637589522,55.04120067327782
2007,BC,Spring,0.4958026626894977,1.944419644268937,25.49874787322001
2008,BC,Annual,3.9167827738873258,3.8851986412311965,100.81293482194053
2008,BC,Autumn,1.1877007931397146,1.5647903637589522,75.9015917177947
2008,BC,Spring,2.2624788090632664,1.944419644268937,116.3575371053152
2009,BC,Annual,3.5685612422954915,3.8851986412311965,91.85016190483985
2009,BC,Autumn,1.732418470487213,1.5647903637589522,110.71249610239056
2009,BC,Spring,1.493043689092837,1.944419644268937,76.78608336906572
2010,BC,Annual,3.358190131216162,3.8851986412311965,86.43548094498385
2010,BC,Autumn,2.193287084501335,1.5647903637589522,140.1649150773528
2010,BC,Spring,0.7914431740786856,1.944419644268937,40.703310955092334
2011,BC,Annual,3.382823433047637,3.8851986412311965,87.06951035007158
2011,BC,Autumn,2.416546345238015,1.5647903637589522,154.43259373306515
2011,BC,Spring,0.6107175339783404,1.944419644268937,31.40873091764911
2012,BC,Annual,2.95256148077578,3.8851986412311965,75.99512286043965
2012,BC,Autumn,0.3020473293410215,1.5647903637589522,19.302734496360326
2012,BC,Spring,2.178623576311667,1.944419644268937,112.04492727344287
2013,BC,Annual,2.330045536316702,3.8851986412311965,59.972365674933016
2013,BC,Autumn,1.385453587717586,1.5647903637589522,88.53924588271607
2013,BC,Spring,0.7963475902357072,1.944419644268937,40.95554128877967
2014,BC,Annual,3.2986631539491285,3.8851986412311965,84.90333335707648
2014,BC,Autumn,1.7516382878268977,1.5647903637589522,111.94076397678587
2014,BC,Spring,1.107583204295829,1.944419644268937,56.962148451871776
2015,BC,Annual,5.923564023528942,3.8851986412311965,152.46489486189566
2015,BC,Autumn,2.665285835593662,1.5647903637589522,170.32862019875245
2015,BC,Spring,2.82262530928547,1.944419644268937,145.16543882926675
2016,BC,Annual,4.110833003174058,3.8851986412311965,105.80753734309344
2016,BC,Autumn,1.3680320454846244,1.5647903637589522,87.42589915995691
2016,BC,Spring,2.274489526709837,1.944419644268937,116.97523903411292
2017,BC,Annual,4.69552464964257,3.8851986412311965,120.85674590256177
2017,BC,Autumn,1.916285096589922,1.5647903637589522,122.46273628542845
